순서,구분,콘텐츠 아이디(CID),제목,카테고리,주소,전화번호,홈페이지,정보제공,등록일,수정일,상세 URL,중분류
61,관광정보,KprH8A,경주 첨성대,역사관광 > 역사유적지 > 기타역사유적지,경상북도 경주시 첨성로 140-25,054-772-3843,http://www.gyeongju.go.kr/tour,사적공원관리사무소 이정영 님,2004.02.12,2023.06.19,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=KprH8A&defaultCid=KprH8A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
62,관광정보,KprHZA,경주 석굴암 [유네스코 세계문화유산],역사관광 > 종교성지 > 불교,경상북도 경주시 진현동 석굴로 238 석굴암 ,054-746-9933,http://seokguram.org/,석굴암 종무소,2003.12.04,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=KprHZA&defaultCid=KprHZA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
63,관광정보,MS9dlA,한려해상국립공원 (오동도),자연관광 > 자연경관(하천‧해양) > 섬,전라남도 여수시 오동도로 222,061-659-1819,http://www.yeosu.go.kr/tour,여수시청,2003.12.29,2023.08.18,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=MS9dlA&defaultCid=MS9dlA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
64,관광정보,MYyGDA,[제주올레 3코스] 온평-표선 올레 (A),레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 성산읍 온평리 1001-6,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.21,2023.08.23,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=MYyGDA&defaultCid=MYyGDA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
65,관광정보,MYyGmA,[제주올레 1코스] 시흥-광치기 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 성산읍 시흥상동로 113,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.21,2023.07.11,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=MYyGmA&defaultCid=MYyGmA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
66,관광정보,MYyGsA,[제주올레 2코스] 광치기-온평 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 성산읍 고성리 224-33,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.21,2023.03.20,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=MYyGsA&defaultCid=MYyGsA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
67,관광정보,OTDSfA,꽃지해수욕장,자연관광 > 자연경관(하천‧해양) > 해변. 해수욕장,충청남도 태안군 안면읍 승언리,041-670-2691,http://www.taean.go.kr/tour.do,태안군청,2003.07.01,2023.07.07,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=OTDSfA&defaultCid=OTDSfA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
68,관광정보,OhUSkA,[제주올레 4코스] 표선-남원 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 표선면 민속해안로 594,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.21,2022.07.18,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=OhUSkA&defaultCid=OhUSkA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
69,관광정보,OhUSwA,[제주올레 5코스] 남원-쇠소깍 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 남원읍 남태해안로 137-1,064-762-2190,제주올레http://www.jejuolle.org,사단법인 제주올레,2013.08.22,2023.06.12,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=OhUSwA&defaultCid=OhUSwA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
70,관광정보,OtNKWA,소노벨 비발디파크 오션월드,문화관광 > 테마공원 > 워터파크,강원특별자치도 홍천군 서면 한치골길 262,1588-4888,https://www.sonohotelsresorts.com/vp/,비발디파크 오션월드,2006.07.11,2023.07.18,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=OtNKWA&defaultCid=OtNKWA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
71,관광정보,P54QoA,국립아시아문화전당 ,문화관광 > 전시시설 > 전시관,광주광역시 동구 문화전당로 38,국립아시아문화전당 1899-5566,http://www.acc.go.kr,관광콘텐츠팀,2015.06.12,2022.12.26,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=P54QoA&defaultCid=P54QoA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
72,관광정보,QPHt0A,양평 두물머리,자연관광 > 자연경관(하천‧해양) > 강,경기도 양평군 양서면 두물머리길 145,031-775-8700,http://tour.yp21.net,양평군청,2006.04.14,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=QPHt0A&defaultCid=QPHt0A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
73,관광정보,QROkUA,[제주올레 1-1코스] 우도-올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 우도면 연평리 1737-1,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.30,2023.08.23,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=QROkUA&defaultCid=QROkUA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
74,관광정보,Qlq2OA,창덕궁과 후원 [유네스코 세계문화유산],역사관광 > 역사유적지 > 고궁,서울특별시 종로구 율곡로 99,창덕궁관리소 02-3668-2300,창덕궁 http://www.cdg.go.kr,창덕궁관리소,2004.01.19,2023.09.11,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=Qlq2OA&defaultCid=Qlq2OA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
75,관광정보,RYS2WA,창녕 우포늪,자연관광 > 자연경관(하천‧해양) > 연못·늪,경상남도 창녕군 유어면 우포늪길 220,055-530-1553,http://www.cng.go.kr/tour/upo.web,우포늪 관리사업소,2004.02.04,2022.11.07,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=RYS2WA&defaultCid=RYS2WA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
76,관광정보,RrqQyA,한국민속촌,역사관광 > 역사유적지 > 민속마을,경기도 용인시 기흥구 민속촌로 90,031-288-0000,http://www.koreanfolk.co.kr,용인시청 문화관광담당관실 신은희 님,2007.10.12,2023.03.21,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=RrqQyA&defaultCid=RrqQyA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
77,관광정보,RyOXKA,태안 신두리 해안사구,자연관광 > 자연경관(하천‧해양) > 해안절경,충청남도 태안군 원북면 신두리,신두리 사구센터 041-672-0499,http://www.taean.go.kr/tour.do http://www.cha.go.kr,충남 태안군,2003.12.16,2022.10.04,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=RyOXKA&defaultCid=RyOXKA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
78,관광정보,S3AUZA,부석사[유네스코 세계문화유산],역사관광 > 종교성지 > 불교,경상북도 영주시 부석면 부석사로 345,054-633-3464,http://www.pusoksa.org,영주시청,2004.02.17,2023.07.05,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=S3AUZA&defaultCid=S3AUZA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
79,관광정보,SUQ1uA,익선동,체험관광 > 기타체험 > 기타체험관광,서울특별시 종로구 익선동,북인사동 관광안내소 02-734-0222 남인사동 관광안내소 02-737-7885,비짓서울 https://korean.visitseoul.net/index 종로구 문화관광 http://tour.jongno.go.kr/tour/main.do,,2020.03.17,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=SUQ1uA&defaultCid=SUQ1uA&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
80,관광정보,SfvFvA,롯데월드 어드벤처,문화관광 > 테마공원 > 테마파크,서울특별시 송파구 올림픽로 240,1661-2000,http://www.lotteworld.com,롯데월드,2003.11.05,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=SfvFvA&defaultCid=SfvFvA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
81,관광정보,TCilxA,대교천 현무암 협곡 (한탄강 유네스코 세계지질공원),자연관광 > 자연생태 > 기타자연생태,강원특별자치도 철원군 동송읍 장흥리,033-450-4810,http://www.hantangeopark.kr/,국가지질공원 (https://www.koreageoparks.kr),2019.08.26,2023.07.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=TCilxA&defaultCid=TCilxA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
82,관광정보,U5NwQA,[제주올레 3코스] 온평-표선 올레 (B),레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 성산읍 온평리 1001-6,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2021.03.18,2023.03.10,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=U5NwQA&defaultCid=U5NwQA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
83,관광정보,UjRXbA,영남 알프스,"자연관광 > 자연경관(산) > 산, 고개, 오름, 봉우리",울산광역시 울주군 상북면 알프스온천5길 103-8,052-204-2931,영남알프스 https://all.ulju.ulsan.kr/ynawc/,,2017.12.21,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=UjRXbA&defaultCid=UjRXbA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
84,관광정보,WpqQEA,남이섬,문화관광 > 복합관광시설 > 관광단지,경기도 가평군 가평읍 북한강변로 1024,031-580-8114,https://namisum.com,남이섬 마케팅부문 송아름슬이 l 강원도관광재단 (https://dangdangmap.net/pet),2003.12.10,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=WpqQEA&defaultCid=WpqQEA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
85,관광정보,ZLPniA,인천 차이나타운,"문화관광 > 도시.지역문화관광 > 골목길, 문화거리",인천광역시 중구 차이나타운로59번길 20,인천역관광안내소 032-777-1330 인천 문화관광과 032-760-6479,http://chinatown.alltheway.kr/ http://ic-chinatown.co.kr/,[사진] 관광정보지킴이 이슬비 님,2004.09.15,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=ZLPniA&defaultCid=ZLPniA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
86,관광정보,a3osLA,철원 용암대지 (한탄강 유네스코 세계지질공원),자연관광 > 자연공원 > 지질공원,강원특별자치도 철원군 철원읍 사요리,033-450-4810,http://www.hantangeopark.kr/,국가지질공원 (https://www.koreageoparks.kr),2019.08.14,2023.07.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=a3osLA&defaultCid=a3osLA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
87,관광정보,a3osTA,고석정 (한탄강 유네스코 세계지질공원),자연관광 > 자연경관(하천‧해양) > 강,강원특별자치도 철원군 동송읍 태봉로 1825,한탄강지질공원 철원 033-450-4810,http://www.hantangeopark.kr/,철원군청 관광문화체육과 관광개발 신경미,2019.08.14,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=a3osTA&defaultCid=a3osTA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
88,관광정보,aV991A,경주 동궁과 월지,역사관광 > 역사유적지 > 고궁,경상북도 경주시 원화로 102,054-750-8655 054-750-8650,http://www.gyeongju.go.kr/tour,경주시청,2005.05.19,2023.05.22,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=aV991A&defaultCid=aV991A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
89,관광정보,apCkoA,송도 센트럴파크,문화관광 > 도시공원 > 주제공원,인천광역시 연수구 컨벤시아대로 160,032-456-2860,,,2016.12.20,2023.03.27,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=apCkoA&defaultCid=apCkoA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
90,관광정보,c4v9bA,소래포구 ,자연관광 > 자연경관(하천‧해양) > 항구/포구,인천광역시 남동구 포구로 2-6,032-442-6887 032-453-2140,hthttp://itour.incheon.go.kr http://sorae-pogu.co.kr/,,2015.07.24,2023.03.20,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=c4v9bA&defaultCid=c4v9bA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
91,관광정보,cW9WNA,송도용궁구름다리,문화관광 > 랜드마크관광 > 다리 / 대교,부산광역시 서구 암남동 620-53,051-240-4087,https://www.bsseogu.go.kr/tour/index.bsseogu,,2020.11.23,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=cW9WNA&defaultCid=cW9WNA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
92,관광정보,cW9WnA,흰여울문화마을,체험관광 > 농.산.어촌 체험 > 체험마을,부산광역시 영도구 흰여울길 379,051-419-4067,http://www.ydculture.com/huinnyeoulculturetown/,,2020.11.23,2023.07.07,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=cW9WnA&defaultCid=cW9WnA&categoryName=%EC%B2%B4%ED%97%98%EA%B4%80%EA%B4%91,체험관광
93,관광정보,ckox6A,영종도,자연관광 > 자연경관(하천‧해양) > 섬,인천광역시 중구 운남서로 100,032-745-0211 032-760-6478,http://yeongjong-do.co.kr,인천광역시 중구 영종동사무소,2003.07.29,2023.03.16,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=ckox6A&defaultCid=ckox6A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
94,관광정보,ckoxsA,제부도,자연관광 > 자연경관(하천‧해양) > 섬,경기도 화성시 서신면 해안길 421-12,화성도시공사 제부도관리팀 031-355-3924,https://tour.hscity.go.kr,수협 어촌민박안내,2003.11.28,2023.06.30,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=ckoxsA&defaultCid=ckoxsA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
95,관광정보,daRzmA,황매산군립공원,자연관광 > 자연공원 > 군립공원,경상남도 합천군 가회면 황매산공원길 4,055-930-4769,http://www.hwangmaesan.kr,한국문화관광연구원,2012.05.04,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=daRzmA&defaultCid=daRzmA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
96,관광정보,eBPtZA,"순천만습지 (구, 순천만자연생태공원)",자연관광 > 자연생태 > 생태습지,전라남도 순천시 순천만길 513-25,061-749-6052,https://scbay.suncheon.go.kr/wetland,순천시청,2003.11.17,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=eBPtZA&defaultCid=eBPtZA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
97,관광정보,eBPtnA,서울랜드,문화관광 > 테마공원 > 테마파크,경기도 과천시 광명로 181,02-509-6000,http://www.seoulland.co.kr,서울랜드 마케팅팀 최지영 주임님,2003.11.13,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=eBPtnA&defaultCid=eBPtnA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
98,관광정보,gP69HA,공주 무령왕릉과 왕릉원[유네스코 세계유산],"역사관광 > 역사유적지 > 고분, 능",충청남도 공주시 왕릉로 37-2,공주시 관광안내소 041-856-3151 공주시 문화관광과 041-840-8080,공주시 문화관광 http://tour.gongju.go.kr 문화재청 http://www.cha.go.kr,문화재청,2003.12.05,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=gP69HA&defaultCid=gP69HA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
99,관광정보,gx4PyA,남원시립김병종미술관,문화관광 > 전시시설 > 미술관/화랑,전라북도 남원시 함파우길 65-14,063-620-5660,https://nkam.modoo.at/,남원시립김병종미술관 사무실,2018.09.03,2023.05.12,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=gx4PyA&defaultCid=gx4PyA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
100,관광정보,hxDIiA,[제주올레 7-1코스] 서귀포 버스터미널 - 제주올레 여행자센터 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 월드컵로 33,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.30,2023.08.23,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=hxDIiA&defaultCid=hxDIiA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
101,관광정보,hxxfNA,[제주올레 19코스] 조천-김녕 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 조천읍 조천리 1209-1,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.29,2022.10.19,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=hxxfNA&defaultCid=hxxfNA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
102,관광정보,il4LQA,헤이리 예술마을,문화관광 > 도시.지역문화관광 > 마을관광지,경기도 파주시 탄현면 헤이리마을길 70-21,031-946-8551,http://heyri.net,헤이리문화예술마을 상임이사 한상구 님,2004.06.08,2022.10.14,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=il4LQA&defaultCid=il4LQA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
103,관광정보,jSTKgA,죽녹원,자연관광 > 자연공원 > 수목원ㆍ정원,전라남도 담양군 담양읍 죽녹원로 119,061-380-2680,https://www.juknokwon.go.kr,죽녹원,2006.03.13,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=jSTKgA&defaultCid=jSTKgA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
104,관광정보,jbGw6A,바람의 언덕,"자연관광 > 자연경관(산) > 산, 고개, 오름, 봉우리",경상남도 거제시 남부면 도장포마을,거제시 관광과 055-639-4163,http://tour.geoje.go.kr,거제군청,2007.03.19,2023.08.03,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=jbGw6A&defaultCid=jbGw6A&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
105,관광정보,jh0j1A,익산 미륵사지 [유네스코 세계유산],역사관광 > 역사유적지 > 사적지,전라북도 익산시 금마면 미륵사지로 362,미륵사지 관광안내소 063-859-3873 국립익산박물관 063-830-0900,익산시 문화관광 http://www.iksan.go.kr/tour/index.iksan 국립익산박물관 http://iksan.museum.go.kr,미륵사지 유물전시관,2003.11.17,2022.05.06,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=jh0j1A&defaultCid=jh0j1A&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
106,관광정보,k5a0SA,용두산 자갈치 관광특구,문화관광 > 복합관광시설 > 관광단지,부산광역시 중구 자갈치해안로 52,051-600-4000,부산광역시 중구 문화관광 http://www.bsjunggu.go.kr/tour/index.junggu,[글] 트래블플러스,2014.10.21,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=k5a0SA&defaultCid=k5a0SA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
107,관광정보,kWPHrA,외암민속마을,역사관광 > 역사유적지 > 민속마을,충청남도 아산시 송악면 외암민속길9번길 13-2,041-541-0848,http://www.oeam.co.kr,한국농어촌공사 농어촌자원개발원 콘텐츠운영부 김상민님,2003.09.09,2023.08.11,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=kWPHrA&defaultCid=kWPHrA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
108,관광정보,lvPtjA,청남대 ,문화관광 > 랜드마크관광 > 건물,충청북도 청주시 상당구 문의면 청남대길 646,043-257-5080,http://chnam.chungbuk.go.kr,청남대,2004.01.14,2023.06.27,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=lvPtjA&defaultCid=lvPtjA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
109,관광정보,mlJMRA,[제주올레 21코스] 하도-종달 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 구좌읍 해녀박물관길 26,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.29,2022.10.19,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=mlJMRA&defaultCid=mlJMRA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
110,관광정보,mlJMtA,[제주올레 20코스] 김녕-하도 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 구좌읍 김녕리 4069,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.29,2023.02.27,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=mlJMtA&defaultCid=mlJMtA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
111,관광정보,nUdrAA,서대문형무소역사관,문화관광 > 전시시설 > 전시관,서울특별시 서대문구 통일로 251,서대문형무소역사관 02-360-8590,서대문형무소역사관 http://sphh.sscmc.or.kr,서대문형무소역사관,2007.11.06,2023.06.13,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=nUdrAA&defaultCid=nUdrAA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
112,관광정보,oBZCnA,무등산국립공원,자연관광 > 자연공원 > 국립공원,전라남도 화순군 화순읍 중지길 200,061-371-1187,,아로정보기술 신병문 작가 / 국립공원 동부사무소 직원 문기웅,2021.12.14,2023.03.02,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=oBZCnA&defaultCid=oBZCnA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
113,관광정보,oPrV4A,스타필드 코엑스몰,쇼핑 > 쇼핑몰 > 복합쇼핑몰,서울특별시 강남구 영동대로 513,02-6002-5300,http://www.starfield.co.kr/coexmall,이진희님,2015.01.20,2023.08.25,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=oPrV4A&defaultCid=oPrV4A&categoryName=%EC%87%BC%ED%95%91,쇼핑
114,관광정보,prOxbA,비자림,자연관광 > 자연공원 > 수목원ㆍ정원,제주특별자치도 제주시 구좌읍 비자숲길 55,064-710-7912,http://www.visitjeju.net/,비자림관리사무소,2004.02.26,2023.08.29,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=prOxbA&defaultCid=prOxbA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
115,관광정보,qSuj1A,[제주올레 12코스] 무릉-용수 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 서귀포시 대정읍 노을해안로 342-5,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.22,2023.02.22,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=qSuj1A&defaultCid=qSuj1A&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
116,관광정보,qSujdA,[제주올레 13코스] 용수-저지 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 한경면 용수리 4241-7,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.23,2023.03.20,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=qSujdA&defaultCid=qSujdA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
117,관광정보,qSujuA,[제주올레 14코스] 저지-한림 올레,레저스포츠 > 육상레저스포츠 > 기타육상레저스포츠,제주특별자치도 제주시 한경면 저지리 1851-5,064-762-2190,http://www.jejuolle.org,사단법인 제주올레,2013.08.23,2022.10.20,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=qSujuA&defaultCid=qSujuA&categoryName=%EB%A0%88%EC%A0%80%EC%8A%A4%ED%8F%AC%EC%B8%A0,레저스포츠
118,관광정보,qUTxiA,단양강 잔도,자연관광 > 자연경관(하천‧해양) > 강,충청북도 단양군 단양읍 삼봉로 31,043-422-1146,http://www.danyang.go.kr/tour,한국관광공사 국민관광전략팀,2019.05.31,2023.06.10,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=qUTxiA&defaultCid=qUTxiA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
119,관광정보,qiE0hA,경주 불국사 [유네스코 세계문화유산],역사관광 > 종교성지 > 불교,경상북도 경주시 불국로 385,054-746-9913,http://www.bulguksa.or.kr,불국사 종무소,2004.02.12,2023.08.24,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=qiE0hA&defaultCid=qiE0hA&categoryName=%EC%97%AD%EC%82%AC%EA%B4%80%EA%B4%91,역사관광
120,관광정보,r8xNUA,세종호수공원 일원,문화관광 > 도시공원 > 주제공원,세종특별자치시 연기면 호수공원길 155,044-301-3926,https://www.sejong.go.kr/lake.do,[글/사진] 세종시청,2014.09.06,2023.03.13,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=r8xNUA&defaultCid=r8xNUA&categoryName=%EB%AC%B8%ED%99%94%EA%B4%80%EA%B4%91,문화관광
121,관광정보,rGdYTA,아침고요수목원,자연관광 > 자연공원 > 수목원ㆍ정원,경기도 가평군 상면 수목원로 432,1544-6703,http://www.morningcalm.co.kr,아침고요수목원 김민정 님,2007.10.03,2023.05.19,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=rGdYTA&defaultCid=rGdYTA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
122,관광정보,rTSUTA,부산 송도해수욕장,자연관광 > 자연경관(하천‧해양) > 해변. 해수욕장,부산광역시 서구 송도해변로 100,051-240-4000,http://tour.busan.go.kr,부산시 서구청,2003.12.09,2023.04.22,https://conlab.visitkorea.or.kr/conlab/formal-contents/detail?cid=rTSUTA&defaultCid=rTSUTA&categoryName=%EC%9E%90%EC%97%B0%EA%B4%80%EA%B4%91,자연관광
